brand,laptop_type,cpu,ram_gb,storage_gb,storage_type,gpu,screen_size_in,resolution,touchscreen,weight_kg,os,price_usd
Dell,Notebook,Intel Core i7 8550U,8,128.0,SSD,Intel,15.6,1920x1080,0,2.02,Windows 10,650.78
Acer,Notebook,Intel Core i3 7130U,4,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.2,Windows 10,403.41
HP,Notebook,Intel Core i5 8250U,8,128.0,SSD,Nvidia,17.3,1920x1080,0,2.5,Windows 10,743.64
Dell,Ultrabook,Intel Core i5 8250U,8,256.0,SSD,Intel,15.6,1920x1080,0,1.88,Windows 10,834.33
Apple,Ultrabook,Intel Core i5,8,512.0,SSD,Intel,12.0,2304x1440,0,0.92,macOS,1149.33
HP,Notebook,Intel Core i5 8250U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.63,Windows 10,654.58
Lenovo,Notebook,AMD A6-Series 9220,4,128.0,SSD,AMD,15.6,1920x1080,0,2.2,Windows 10,303.7
Acer,Notebook,AMD A9-Series 9420,4,1024.0,HDD,AMD,15.6,1366x768,0,2.1,Windows 10,300.65
Dell,Gaming,Intel Core i7 7700HQ,16,128.0,SSD,Nvidia,15.6,1920x1080,0,2.65,Windows 10,1026.78
HP,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,Nvidia,15.6,1920x1080,0,1.83,Windows 10,532.04
HP,Notebook,Intel Core i5 7200U,8,256.0,SSD,Intel,15.6,1920x1080,0,1.96,Windows 10,455.92
Asus,Gaming,Intel Core i7 7700HQ,16,128.0,SSD,Nvidia,15.6,1920x1080,0,2.2,Windows 10,1102.9
Dell,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,Intel,13.3,1920x1080,0,1.21,Windows 10,1255.12
Asus,Gaming,AMD FX 9830P,8,1024.0,HDD,AMD,15.6,1920x1080,0,2.45,Windows 10,532.04
Acer,Notebook,Intel Core i7 8550U,8,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.2,Windows 10,524.43
HP,Notebook,Intel Core i7 8550U,16,512.0,SSD,Intel,13.3,1920x1080,0,1.49,Windows 10,911.09
Dell,Gaming,Intel Core i5 7300HQ,8,256.0,SSD,Nvidia,15.6,1920x1080,0,2.65,Windows 10,909.57
Asus,Ultrabook,Intel Core i7 7500U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.25,Windows 10,798.44
Acer,2 in 1 Convertible,Intel Core i5 8250U,8,256.0,SSD,Intel,13.3,1920x1080,1,1.5,Windows 10,644.69
Dell,Notebook,Intel Core i7 7500U,8,1024.0,HDD,AMD,15.6,1920x1080,0,2.2,Linux,456.61
Dell,Notebook,Intel Core i3 6006U,4,256.0,SSD,AMD,15.6,1920x1080,0,2.2,Linux,369.15
Asus,Notebook,Intel Core i3 7100U,6,256.0,SSD,Nvidia,15.6,1920x1080,0,2.0,Windows 10,439.18
HP,Gaming,Intel Core i7 7700HQ,12,128.0,SSD,Nvidia,15.6,1920x1080,0,2.62,Windows 10,950.67
HP,Notebook,Intel Core i7 7500U,8,256.0,SSD,AMD,15.6,1920x1080,0,1.91,Windows 10,547.26
HP,Notebook,AMD E-Series E2-9000e,4,500.0,HDD,AMD,15.6,1920x1080,0,2.1,Windows 10,265.64
Dell,Notebook,Intel Core i5 8250U,8,1024.0,HDD,AMD,15.6,1920x1080,0,2.2,Linux,492.46
HP,Ultrabook,Intel Core i7 7500U,8,256.0,SSD,Nvidia,13.3,1920x1080,0,1.38,Windows 10,851.72
Microsoft,Ultrabook,Intel Core i5 7200U,8,256.0,SSD,Intel,13.5,2256x1504,1,1.252,Windows 10 S,1019.93
HP,Notebook,Intel Core i5 7200U,6,256.0,SSD,Nvidia,14.0,1920x1080,0,1.58,Windows 10,501.59
Lenovo,Notebook,Intel Core i3 6006U,4,1024.0,HDD,Intel,15.6,1920x1080,0,1.85,Windows 10,315.8
Asus,Ultrabook,Intel Core i7 7500U,8,256.0,SSD,Nvidia,14.0,1920x1080,0,1.3,Windows 10,908.04
MSI,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,15.6,1920x1080,0,2.2,Windows 10,988.72
Lenovo,Notebook,Intel Core i7 7500U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.58,Windows 10,1126.49
Asus,Ultrabook,Intel Core i7 8550U,16,256.0,SSD,Nvidia,15.6,1920x1080,0,1.5,Windows 10,960.56
Dell,Ultrabook,Intel Core i7 7560U,8,256.0,SSD,Intel,13.3,3200x1800,1,1.23,Windows 10,1049.62
Lenovo,2 in 1 Convertible,Intel Core i5 7200U,8,256.0,SSD,Intel,13.3,1920x1080,1,1.37,Windows 10,1064.84
HP,Notebook,Intel Core i5 8250U,4,500.0,HDD,Intel,14.0,1366x768,0,1.63,Windows 10,549.55
Dell,Ultrabook,Intel Core i5 8250U,8,256.0,SSD,Intel,13.3,1920x1080,0,1.21,Windows 10,1239.9
HP,2 in 1 Convertible,Intel Core i5 8250U,8,256.0,SSD,Intel,13.3,1920x1080,1,1.26,Windows 10,1064.83
HP,Notebook,Intel Core i7 8550U,8,512.0,SSD,Intel,14.0,1920x1080,0,1.63,Windows 10,825.08
Dell,Notebook,Intel Core i7 8550U,8,256.0,SSD,Nvidia,15.6,1920x1080,0,2.16,Windows 10,860.34
Asus,Notebook,Intel Core i3 6006U,4,1024.0,HDD,Nvidia,17.3,1920x1080,0,2.0,Windows 10,429.28
Asus,Notebook,Intel Core i7 8550U,8,256.0,SSD,Nvidia,15.6,1920x1080,0,1.7,Windows 10,850.96
Acer,Notebook,Intel Core i3 7100U,6,1024.0,HDD,Intel,15.6,1920x1080,1,2.1,Windows 10,364.59
MSI,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,15.6,1920x1080,0,1.8,Windows 10,1706.1
Lenovo,Notebook,Intel Core i5 7200U,8,256.0,SSD,Nvidia,15.6,1920x1080,0,2.2,No OS,478.76
HP,Notebook,Intel Core i7 8550U,16,512.0,SSD,Nvidia,17.3,1920x1080,0,2.5,Windows 10,967.41
Acer,Notebook,AMD A9-Series 9420,4,256.0,SSD,AMD,15.6,1366x768,0,2.1,Windows 10,343.28
HP,Notebook,Intel Celeron Dual Core N3060,4,500.0,HDD,Intel,15.6,1366x768,0,1.86,No OS,197.14
HP,Notebook,Intel Core i5 8250U,8,1024.0,HDD,Intel,14.0,1920x1080,0,1.63,Windows 10,618.05
Asus,Notebook,AMD E-Series 6110,4,64.0,SSD,AMD,14.0,1366x768,0,1.65,Windows 10 S,211.59
Dell,Notebook,Intel Core i7 8550U,16,256.0,SSD,AMD,17.3,1920x1080,0,2.8,Windows 10,1062.56
HP,Notebook,Intel Core i5 8250U,8,256.0,SSD,Intel,17.3,1920x1080,0,2.5,Windows 10,706.34
Dell,Notebook,Intel Core i5 7200U,8,1024.0,HDD,AMD,15.6,1366x768,0,2.36,Windows 10,486.36
Dell,Notebook,Intel Core i3 6006U,4,1024.0,HDD,AMD,15.6,1920x1080,0,2.2,Windows 10,341.75
Acer,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.6,Windows 10,672.85
Acer,Notebook,Intel Core i3 7130U,4,256.0,SSD,Nvidia,15.6,1920x1080,0,2.2,Windows 10,435.37
HP,Notebook,Intel Core i7 7500U,8,1024.0,HDD,Intel,15.6,1366x768,0,2.05,Windows 10,455.16
HP,Notebook,Intel Core i7 8550U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.63,Windows 10,752.01
Lenovo,Notebook,Intel Celeron Dual Core N3350,4,1024.0,HDD,Intel,15.6,1366x768,0,1.9,No OS,192.08
Asus,Gaming,Intel Core i5 7300HQ,8,128.0,SSD,Nvidia,17.3,1920x1080,0,3.0,Windows 10,713.95
Lenovo,Notebook,Intel Core i5 7200U,4,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.2,No OS,379.81
HP,Notebook,Intel Core i5 7200U,4,256.0,SSD,Intel,13.3,1920x1080,0,1.32,Windows 10,532.04
Acer,Notebook,Intel Core i3 7130U,4,1024.0,HDD,Nvidia,17.3,1920x1080,0,3.0,Windows 10,498.55
Lenovo,Notebook,Intel Core i5 8250U,8,256.0,SSD,AMD,14.0,1920x1080,0,1.75,Windows 10,849.45
Lenovo,Gaming,Intel Core i7 7700HQ,8,256.0,SSD,Nvidia,15.6,1920x1080,0,2.4,No OS,661.43
Toshiba,Notebook,Intel Core i5 6200U,4,500.0,HDD,Intel,15.6,1366x768,0,2.1,Windows 10,458.21
HP,Notebook,AMD A6-Series 9220,4,256.0,SSD,AMD,15.6,1366x768,0,1.86,Windows 10,280.86
Asus,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.25,Windows 10,836.5
HP,Ultrabook,Intel Core M 6Y75,8,512.0,SSD,Intel,12.5,3840x2160,1,0.97,Windows 10,1532.94
Asus,Notebook,Intel Celeron Dual Core N3350,4,1024.0,HDD,Intel,15.6,1920x1080,0,2.0,Windows 10,261.83
MSI,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,17.3,1920x1080,0,2.9,Windows 10,1544.36
Acer,Notebook,Intel Core i3 6006U,4,1024.0,HDD,Intel,15.6,1366x768,0,2.1,Windows 10,340.23
Dell,Gaming,Intel Core i7 7700HQ,16,512.0,SSD,Nvidia,15.6,1920x1080,0,2.56,Windows 10,950.87
Dell,Gaming,Intel Core i7 7700HQ,8,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.62,Windows 10,684.27
Lenovo,Notebook,Intel Core i5 7200U,4,128.0,SSD,Intel,15.6,1366x768,0,1.9,Windows 10,379.05
MSI,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,17.3,1920x1080,0,2.8,Windows 10,1438.56
HP,Ultrabook,Intel Core i5 7500U,4,256.0,SSD,Intel,14.0,1920x1080,0,1.48,Windows 10,823.56
HP,Notebook,Intel Core i5 8250U,6,256.0,SSD,AMD,15.6,1920x1080,0,1.91,Windows 10,471.15
Lenovo,2 in 1 Convertible,Intel Core i3 7100U,4,256.0,SSD,Intel,14.0,1920x1080,1,1.74,Windows 10,478.76
Asus,2 in 1 Convertible,Intel Core i5 8250U,8,256.0,SSD,Intel,13.3,1920x1080,1,1.1,Windows 10,1000.9
Dell,2 in 1 Convertible,Intel Core i7 8550U,8,256.0,SSD,Intel,15.6,1920x1080,1,1.56,Windows 10,798.44
Toshiba,Notebook,Intel Core i3 6006U,4,500.0,HDD,Intel,15.6,1366x768,0,2.1,Windows 10,340.23
Asus,Notebook,AMD A9-Series 9420,4,1024.0,HDD,AMD,15.6,1366x768,0,2.03,Windows 10,306.74
Acer,Notebook,Intel Core i5 8250U,4,256.0,SSD,Nvidia,17.3,1920x1080,0,3.0,Windows 10,612.72
Dell,Notebook,Intel Core i5 8250U,8,256.0,SSD,AMD,15.6,1920x1080,0,2.13,Windows 10,554.11
Lenovo,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,15.6,1920x1080,0,2.5,Windows 10,821.27
Acer,Notebook,Intel Celeron Dual Core N3350,4,1024.0,HDD,Intel,15.6,1366x768,0,2.1,Windows 10,264.88
MSI,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,15.6,1920x1080,0,2.4,Windows 10,1369.3
Acer,Notebook,Intel Pentium Quad Core N4200,4,1024.0,HDD,Intel,15.6,1366x768,0,2.1,Windows 10,276.68
Dell,Gaming,Intel Core i7 7700HQ,8,128.0,SSD,Nvidia,15.6,1920x1080,0,2.56,Windows 10,807.18
Acer,Notebook,Intel Core i5 8250U,8,256.0,SSD,Nvidia,17.3,1920x1080,0,3.0,Windows 10,650.02
HP,Notebook,Intel Core i5 8250U,4,500.0,HDD,Intel,13.3,1920x1080,0,1.49,Windows 10,573.9
Huawei,Ultrabook,Intel Core i5 7200U,8,256.0,SSD,Intel,13.0,2160x1440,0,1.05,Windows 10,1026.78
HP,Notebook,Intel Core i5 7200U,6,2048.0,HDD,AMD,17.3,1920x1080,0,2.71,Windows 10,532.04
Lenovo,Notebook,AMD A6-Series 9220,4,500.0,HDD,AMD,15.6,1366x768,0,2.2,No OS,235.19
Toshiba,Notebook,Intel Core i3 7100U,4,500.0,HDD,Intel,15.6,1366x768,0,2.0,Windows 10,372.2
HP,Notebook,Intel Core i5 8250U,8,256.0,SSD,Nvidia,17.3,1920x1080,0,2.5,Windows 10,702.53
Dell,Notebook,Intel Core i3 7100U,8,1024.0,HDD,Intel,15.6,1366x768,0,2.3,Windows 10,349.36
Acer,Notebook,Intel Core i3 6006U,4,128.0,SSD,Intel,15.6,1366x768,0,2.1,Windows 10,341.75
MSI,Gaming,Intel Core i7 6920HQ,32,512.0,SSD,Nvidia,18.4,1920x1080,0,4.4,Windows 10,2130.44
Lenovo,Notebook,Intel Core i5 7200U,8,128.0,SSD,AMD,15.6,1920x1080,0,1.9,Windows 10,618.81
HP,2 in 1 Convertible,Intel Core i5 8250U,8,256.0,SSD,Intel,13.3,3840x2160,1,1.29,Windows 10,1140.95
Dell,Notebook,Intel Core i7 8550U,16,256.0,SSD,AMD,15.6,1920x1080,0,2.02,Linux,798.44
Dell,Ultrabook,Intel Core i5 8250U,8,256.0,SSD,Intel,13.3,1920x1080,0,1.23,Windows 10,1064.84
Lenovo,2 in 1 Convertible,Intel Core i7 8550U,16,512.0,SSD,Intel,13.9,3840x2160,1,1.4,Windows 10,1407.35
Toshiba,Notebook,Intel Core i5 7200U,8,128.0,SSD,Intel,15.6,1366x768,0,2.0,Windows 10,603.59
Xiaomi,Notebook,Intel Core i5 8250U,8,256.0,SSD,Nvidia,15.6,1920x1080,0,1.95,No OS,912.61
Dell,Notebook,Intel Core i7 8550U,16,512.0,SSD,Nvidia,17.3,1920x1080,1,2.77,Windows 10,1179.01
Dell,Notebook,Intel Core i7 7700HQ,16,512.0,SSD,Nvidia,15.6,3840x2160,1,2.06,Windows 10,1824.46
Lenovo,Gaming,Intel Core i5 7300HQ,8,256.0,SSD,Nvidia,15.6,1920x1080,0,2.4,No OS,592.93
Acer,Ultrabook,Intel Core i5 7Y54,8,256.0,SSD,Intel,13.3,1920x1080,0,1.12,Windows 10,752.77
Dell,Notebook,Intel Core i7 8550U,8,128.0,SSD,AMD,17.3,1920x1080,0,2.8,Windows 10,825.84
Lenovo,2 in 1 Convertible,Intel Core i7 7500U,16,1024.0,SSD,Intel,14.0,2560x1440,1,1.42,Windows 10,2149.47
Vero,Notebook,Intel Celeron Dual Core N3350,4,32.0,SSD,Intel,14.0,1920x1080,0,1.3,Windows 10,197.9
Xiaomi,Ultrabook,Intel Core i5 7200U,8,256.0,SSD,Nvidia,13.3,1920x1080,0,1.3,No OS,761.07
Lenovo,Notebook,Intel Core i5 8250U,8,256.0,SSD,Nvidia,17.3,1600x900,0,2.8,No OS,531.28
Dell,2 in 1 Convertible,Intel Core i7 8550U,8,1024.0,HDD,Intel,13.3,1920x1080,1,1.62,Windows 10,638.6
HP,Notebook,Intel Core i5 8250U,8,1024.0,HDD,Nvidia,17.3,1920x1080,0,2.5,Windows 10,695.68
Razer,Gaming,Intel Core i7 7820HK,32,1024.0,SSD,Nvidia,17.3,3840x2160,1,3.49,Windows 10,4642.21
HP,Notebook,Intel Core i5 8250U,8,512.0,SSD,Intel,13.3,1920x1080,0,1.49,Windows 10,729.94
HP,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,17.3,1920x1080,0,3.35,Windows 10,1049.62
HP,Notebook,Intel Core i7 8550U,8,256.0,SSD,Nvidia,17.3,1920x1080,0,2.5,Windows 10,795.39
Dell,Gaming,Intel Core i7 7700HQ,16,512.0,SSD,Nvidia,15.6,3840x2160,0,2.65,Windows 10,1404.31
Lenovo,Notebook,Intel Core i5 6200U,4,128.0,SSD,Intel,15.6,1366x768,0,2.1,Windows 10,375.24
Acer,Notebook,Intel Core i7 7500U,8,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.23,Windows 10,564.77
Lenovo,Gaming,Intel Core i7 7700HQ,16,512.0,SSD,Nvidia,15.6,1920x1080,0,3.2,Windows 10,1331.24
Dell,Workstation,Intel Xeon E3-1505M V6,16,256.0,SSD,Nvidia,15.6,3840x2160,0,2.8,Windows 10,2325.29
Lenovo,Gaming,Intel Core i7 7700HQ,16,512.0,SSD,Nvidia,15.6,1920x1080,0,2.4,No OS,1064.08
Dell,Notebook,Intel Core i3 7100U,6,1024.0,HDD,Intel,15.6,1366x768,1,2.3,Windows 10,334.14
Dell,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,Intel,13.3,3840x2160,1,1.21,Windows 10,1483.47
Dell,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,Intel,13.3,1920x1080,0,1.2,Windows 10,1102.9
Lenovo,Notebook,Intel Core i5 7200U,8,256.0,SSD,Intel,15.6,1366x768,0,2.2,Windows 10,454.4
Acer,Notebook,Intel Core i7 7700HQ,8,1024.0,HDD,Nvidia,15.6,1920x1080,0,2.4,Linux,592.93
Asus,Gaming,Intel Core i7 7700HQ,16,256.0,SSD,Nvidia,17.3,1920x1080,0,2.9,Windows 10,1070.93
HP,Notebook,Intel Core i3 6006U,4,500.0,HDD,Intel,15.6,1920x1080,0,2.1,No OS,265.64
Lenovo,Notebook,Intel Core i5 7200U,8,256.0,SSD,Intel,15.6,1920x1080,0,2.2,No OS,417.87
Huawei,Ultrabook,Intel Core i7 7500U,8,512.0,SSD,Intel,13.0,2160x1440,0,1.05,Windows 10,1140.95
Dell,Ultrabook,Intel Core i7 8550U,8,256.0,SSD,AMD,13.3,1920x1080,0,1.4,Windows 10,709.29
Lenovo,Notebook,Intel Core i5 7200U,8,1024.0,HDD,Nvidia,17.3,1600x900,0,2.8,No OS,448.31
HP,Notebook,Intel Core i7 8550U,8,256.0,SSD,Nvidia,14.0,1920x1080,0,1.63,Windows 10,784.74
Dell,Ultrabook,Intel Core i5 8250U,8,256.0,SSD,Intel,14.0,1920x1080,0,1.6,Windows 10,874.55
Dell,2 in 1 Convertible,Intel Core i7 8550U,16,512.0,SSD,Intel,13.3,1920x1080,1,1.62,Windows 10,973.5
Dell,Notebook,Intel Core i5 8250U,8,256.0,SSD,AMD,15.6,1920x1080,0,2.2,Linux,515.56
